addr,kind,x_axis_addr,y_axis_addr,x_n,y_n,elem_size,signed,consumer_func,name_or_blank,confidence,evidence,x_elem,y_elem,struct_addr,sites
0x5C2F08,scalar,,,1,,1,0,FUN_000226c8@0x0226C8,,static,enumerate_maps.py; direct load; 1 call site(s): 0x022C38,,,,1
0x5C2F09,scalar,,,1,,1,0,FUN_000226c8@0x0226C8,,static,enumerate_maps.py; direct load; 4 call site(s): 0x023190 0x0231D0 0x0231E0 0x0231E8,,,,4
0x5C2F0A,scalar,,,1,,1,0,FUN_000226c8@0x0226C8,,static,enumerate_maps.py; direct load; 1 call site(s): 0x022EEC,,,,1
0x5C2F0B,scalar,,,1,,1,0,FUN_000226c8@0x0226C8,,static,enumerate_maps.py; direct load; 2 call site(s): 0x0230AC 0x023110,,,,2
0x5C2F0C,scalar,,,1,,1,0,FUN_000226c8@0x0226C8,,static,enumerate_maps.py; direct load; 1 call site(s): 0x022EF8,,,,1
0x5C2F0D,scalar,,,1,,1,0,FUN_000226c8@0x0226C8,,static,enumerate_maps.py; direct load; 1 call site(s): 0x022BDC,,,,1
0x5C2F0E,scalar,,,1,,1,0,FUN_00023268@0x023268,,static,enumerate_maps.py; direct load; 1 call site(s): 0x023464,,,,1
0x5C2F0F,scalar,,,1,,1,0,FUN_00023268@0x023268,,static,enumerate_maps.py; direct load; 1 call site(s): 0x023470,,,,1
0x5C2F10,scalar,,,1,,1,0,FUN_00023268@0x023268,,static,enumerate_maps.py; direct load; 10 call site(s): 0x0233BC 0x0233CC 0x0233E4 0x0233F4 0x023528 0x023530 ...,,,,10
0x5C2F11,scalar,,,1,,1,0,FUN_00023268@0x023268,,static,enumerate_maps.py; direct load; 1 call site(s): 0x023494,,,,1
0x5C2F1B,scalar,,,1,,1,0,FUN_00023268@0x023268,,static,enumerate_maps.py; direct load; 2 call site(s): 0x023440 0x023454,,,,2
0x5C2F1C,scalar,,,1,,1,0,FUN_000213e4@0x0213E4 FUN_00021d74@0x021D74 FUN_000270b8@0x0270B8,,static,enumerate_maps.py; direct load; 13 call site(s): 0x02158C 0x02159C 0x0217A0 0x021810 0x021978 0x021BDC ...,,,,13
0x5C2F1D,scalar,,,1,,1,0,FUN_00023bac@0x023BAC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x023FE8,,,,1
