var_id,ram_addr,size,name_or_blank,scaling_or_blank,evidence
1066,0x7f9112,1,,fmt=0x5a A=0x02,handler 0x429a8; tools/measuring_vars.py
1067,0x7f9115,1,,fmt=0x36 A=0x00,handler 0x429c8; tools/measuring_vars.py
1068,0x800d24,1,,fmt=0x1a A=0x30,handler 0x429d8; tools/measuring_vars.py
1071,0x7fa968,1,,fmt=0x36 A=0x00,handler 0x429f4; tools/measuring_vars.py
1072,0x7fa960,1,,fmt=0x36 A=0x00,handler 0x42a04; tools/measuring_vars.py
1073,0x7fa95f,1,,fmt=0x36 A=0x00,handler 0x42a14; tools/measuring_vars.py
1103,0x7f9362,2,,fmt=0x1f A=0x50,handler 0x42a24; tools/measuring_vars.py
1104,0x801251,1,,fmt=0x36 A=0x00,handler 0x42a50; tools/measuring_vars.py
1105,0x801250,1,,fmt=0x25 A=0x01,"handler 0x42a60; also reads 0x801348/1,0x7fd061/1,0x7feb74/1,0x80223a/1; tools/measuring_vars.py"
1106,0x801256,1,,fmt=0x36 A=0x00,"handler 0x42b74; also reads 0x801250/1,0x801348/1,0x7fd061/1; tools/measuring_vars.py"
1107,0x801250,1,,fmt=0x25 A=0x00,handler 0x42ca4; tools/measuring_vars.py
1138,0x8012f4,2,,fmt=0x41,handler 0x42d08; also reads 0x802b78/2; tools/measuring_vars.py
1139,0x801300,2,,fmt=0x41,handler 0x42d70; also reads 0x802b78/2; tools/measuring_vars.py
1163,0x7fef93,1,,fmt=0x25 A=0x04,"handler 0x42dd8; also reads 0x7fef8f/1,0x7fe981/1,0x7f9c8f/1; tools/measuring_vars.py"
1174,0x7f94fc,1,,fmt=0x36 A=0x00,handler 0x42e60; tools/measuring_vars.py
1361,0x803102,2,,fmt=0x17 A=0x64,handler 0x42e70; tools/measuring_vars.py
1420,0x800fb6,2,,fmt=0x35,handler 0x42e84; tools/measuring_vars.py
1421,0x7fe8ab,1,,fmt=0x25 A=0x00,handler 0x42ee4; tools/measuring_vars.py
1426,0x802538,1,,fmt=0x21 A=0xff,handler 0x42f0c; tools/measuring_vars.py
1465,0x802b5e,2,,fmt=0x25 A=0x02,"handler 0x42f28; also reads 0x7fe970/1,0x7fd0cc/1; tools/measuring_vars.py"
1500,0x7feb74,1,,fmt=0x25 A=0x00,"handler 0x42f98; also reads 0x7fe9a1/1,0x7fe9a0/1,0x7fe9a2/1; tools/measuring_vars.py"
1502,0x7fcfc9,1,,fmt=0x10 A=0xff,handler 0x43024; tools/measuring_vars.py
1503,0x7fa961,1,,fmt=0x36 A=0x00,handler 0x430fc; tools/measuring_vars.py
1504,0x7fa95e,1,,fmt=0x36 A=0x00,handler 0x4310c; tools/measuring_vars.py
1505,0x7fa969,1,,fmt=0x36 A=0x00,handler 0x4311c; tools/measuring_vars.py
1506,0x8022ec,2,,fmt=0x1f A=0x14,handler 0x4312c; tools/measuring_vars.py
