start,end,r13_read,r13_write,r13_addr,abs_read,abs_write,abs_addr,ptr_words,ptr_cal,init_bytes,known,free_candidate
0x7FDD00,0x7FDD1F,0,0,1,0,0,0,0,0,32,,0
0x7FDD20,0x7FDD3F,0,0,8,0,0,0,0,0,32,,0
0x7FDD40,0x7FDD5F,0,0,0,0,0,0,0,0,32,,1
0x7FDD60,0x7FDD7F,0,0,0,0,0,0,0,0,32,,1
0x7FDD80,0x7FDD9F,0,0,0,0,0,0,0,0,32,,1
0x7FDDA0,0x7FDDBF,0,0,0,0,0,0,0,0,32,,1
0x7FDDC0,0x7FDDDF,0,0,0,0,0,0,0,0,32,,1
0x7FDDE0,0x7FDDFF,0,0,0,0,0,0,0,0,32,,1
0x7FDE00,0x7FDE1F,0,0,0,0,0,0,0,0,32,,1
0x7FDE20,0x7FDE3F,0,0,0,0,0,0,0,0,32,,1
0x7FDE40,0x7FDE5F,0,0,0,0,0,0,0,0,32,,1
0x7FDE60,0x7FDE7F,0,0,0,0,0,0,0,0,32,,1
0x7FDE80,0x7FDE9F,277,50,0,0,0,0,0,0,32,,0
0x7FDEA0,0x7FDEBF,277,74,3,0,0,0,0,0,32,,0
0x7FDEC0,0x7FDEDF,64,45,5,0,0,0,0,0,32,,0
0x7FDEE0,0x7FDEFF,0,0,0,0,0,0,0,0,32,,1
0x7FDF00,0x7FDF1F,0,0,0,0,0,0,0,0,32,,1
0x7FDF20,0x7FDF3F,0,0,0,0,0,0,0,0,32,,1
0x7FDF40,0x7FDF5F,128,12,10,0,0,0,0,0,32,,0
0x7FDF60,0x7FDF7F,0,0,12,0,0,0,0,0,32,,0
0x7FDF80,0x7FDF9F,0,0,0,0,0,0,0,0,32,,1
0x7FDFA0,0x7FDFBF,0,0,0,0,0,0,0,0,32,,1
0x7FDFC0,0x7FDFDF,16,10,0,0,0,0,0,0,32,,0
0x7FDFE0,0x7FDFFF,0,0,1,0,0,0,0,0,32,,0
0x7FE000,0x7FE01F,39,12,1,0,0,0,0,0,32,,0
0x7FE020,0x7FE03F,60,17,10,0,0,0,0,0,32,,0
0x7FE040,0x7FE05F,9,0,0,0,0,0,0,0,32,,0
0x7FE060,0x7FE07F,13,4,0,0,0,0,0,0,32,,0
0x7FE080,0x7FE09F,33,10,2,0,0,0,0,0,32,,0
0x7FE0A0,0x7FE0BF,23,27,0,0,0,0,0,2,32,,0
0x7FE0C0,0x7FE0DF,0,0,0,0,0,2,0,0,0,,0
0x7FE0E0,0x7FE0FF,0,0,0,0,0,0,0,0,0,,1
0x7FE100,0x7FE11F,0,0,0,0,0,0,0,0,0,,1
0x7FE120,0x7FE13F,0,0,0,0,0,0,0,0,0,,1
0x7FE140,0x7FE15F,0,0,0,0,0,0,0,0,0,,1
0x7FE160,0x7FE17F,0,0,0,0,0,0,0,0,0,,1
0x7FE180,0x7FE19F,0,0,0,0,0,0,0,0,0,,1
0x7FE1A0,0x7FE1BF,0,0,0,0,0,0,0,0,0,,1
0x7FE1C0,0x7FE1DF,0,0,0,0,0,0,0,0,0,,1
0x7FE1E0,0x7FE1FF,0,0,0,0,0,0,0,0,0,,1
0x7FE200,0x7FE21F,0,0,0,0,0,0,0,0,0,,1
0x7FE220,0x7FE23F,0,0,0,0,0,0,0,0,0,,1
0x7FE240,0x7FE25F,0,0,0,0,0,0,0,0,0,,1
0x7FE260,0x7FE27F,0,0,0,0,0,0,0,0,0,,1
0x7FE280,0x7FE29F,0,0,0,0,0,0,0,0,0,,1
0x7FE2A0,0x7FE2BF,0,0,0,0,0,0,0,0,0,,1
0x7FE2C0,0x7FE2DF,0,0,0,0,0,0,0,0,0,,1
0x7FE2E0,0x7FE2FF,0,0,0,0,0,0,0,0,0,,1
0x7FE300,0x7FE31F,0,0,0,0,0,0,0,0,0,,1
0x7FE320,0x7FE33F,0,0,0,0,0,0,0,0,0,,1
0x7FE340,0x7FE35F,0,0,0,0,0,0,0,0,0,,1
0x7FE360,0x7FE37F,0,0,0,0,0,0,0,0,0,,1
0x7FE380,0x7FE39F,0,0,0,0,0,0,0,0,0,,1
0x7FE3A0,0x7FE3BF,0,0,0,0,0,0,0,0,0,,1
0x7FE3C0,0x7FE3DF,0,0,0,0,0,0,0,0,0,,1
0x7FE3E0,0x7FE3FF,0,0,0,0,0,0,0,0,0,,1
0x7FE400,0x7FE41F,0,0,0,0,0,0,0,0,0,,1
0x7FE420,0x7FE43F,0,0,0,0,0,0,0,0,0,,1
0x7FE440,0x7FE45F,0,0,0,0,0,0,0,0,0,,1
0x7FE460,0x7FE47F,0,0,0,0,0,0,0,0,0,,1
0x7FE480,0x7FE49F,0,0,0,0,0,0,0,0,0,,1
0x7FE4A0,0x7FE4BF,0,0,0,0,0,0,0,0,0,,1
0x7FE4C0,0x7FE4DF,0,0,0,0,0,0,0,0,0,,1
0x7FE4E0,0x7FE4FF,0,0,0,0,0,0,0,0,0,,1
0x7FE500,0x7FE51F,0,0,0,0,0,0,0,0,0,,1
0x7FE520,0x7FE53F,0,0,0,0,0,0,0,0,0,,1
0x7FE540,0x7FE55F,0,0,0,0,0,0,0,0,0,,1
0x7FE560,0x7FE57F,0,0,0,0,0,0,0,0,0,,1
0x7FE580,0x7FE59F,975,394,0,8,0,1,0,1,24,os_kernel_ram+os_stack_ptr_chain_onchip,0
0x7FE5A0,0x7FE5BF,728,421,0,8,0,0,0,0,32,os_kernel_object_ptr+os_kernel_ram+os_stack_ptr_chain_ext,0
0x7FE5C0,0x7FE5DF,165,151,0,0,0,0,0,0,32,os_kernel_ram,0
0x7FE5E0,0x7FE5FF,79,82,0,0,0,0,8,0,32,os_kernel_ram+os_task_activation_flags,0
0x7FE600,0x7FE61F,0,0,0,0,0,0,32,0,32,os_kernel_ram+os_task_activation_flags,0
0x7FE620,0x7FE63F,0,0,0,0,0,0,32,0,32,os_kernel_ram+os_task_activation_flags,0
0x7FE640,0x7FE65F,0,0,0,0,0,0,6,0,32,os_kernel_ram+os_task_activation_flags,0
0x7FE660,0x7FE67F,0,0,0,0,0,0,0,0,32,os_kernel_ram,0
0x7FE680,0x7FE69F,0,0,0,0,0,0,0,0,32,os_kernel_ram,0
0x7FE6A0,0x7FE6BF,0,0,0,0,0,0,0,0,32,os_kernel_ram,0
0x7FE6C0,0x7FE6DF,0,0,0,0,0,0,0,0,32,os_kernel_ram,0
0x7FE6E0,0x7FE6FF,0,0,0,0,0,0,0,0,32,os_kernel_ram,0
0x7FE700,0x7FE71F,0,0,0,0,0,0,0,0,32,os_kernel_ram,0
0x7FE720,0x7FE73F,0,0,0,0,0,0,0,0,32,os_kernel_ram,0
0x7FE740,0x7FE75F,0,0,0,0,0,0,0,0,32,os_kernel_ram,0
0x7FE760,0x7FE77F,0,0,0,0,0,0,0,0,32,os_kernel_ram,0
0x7FE780,0x7FE79F,0,0,0,0,0,0,0,0,32,os_kernel_ram,0
0x7FE7A0,0x7FE7BF,0,0,0,0,0,0,4,0,32,os_kernel_ram,0
0x7FE7C0,0x7FE7DF,0,0,0,0,0,0,12,0,32,os_kernel_ram,0
0x7FE7E0,0x7FE7FF,0,0,0,0,0,0,0,0,32,os_kernel_ram,0
0x7FE800,0x7FE81F,0,0,0,0,0,0,2,0,32,os_kernel_ram,0
0x7FE820,0x7FE83F,0,0,0,0,0,0,6,0,32,os_kernel_ram,0
0x7FE840,0x7FE85F,14,43,0,0,0,0,0,0,32,,0
0x7FE860,0x7FE87F,61,95,3,0,0,0,0,0,32,,0
0x7FE880,0x7FE89F,55,99,1,0,0,0,0,0,32,,0
0x7FE8A0,0x7FE8BF,78,66,2,0,0,0,0,0,32,,0
0x7FE8C0,0x7FE8DF,61,84,0,0,0,0,0,0,32,,0
0x7FE8E0,0x7FE8FF,87,51,0,0,0,0,0,0,32,,0
0x7FE900,0x7FE91F,286,44,1,0,0,0,0,0,32,,0
0x7FE920,0x7FE93F,82,71,0,0,0,0,0,0,32,,0
0x7FE940,0x7FE95F,31,61,0,0,0,0,0,0,32,,0
0x7FE960,0x7FE97F,22,55,0,0,0,0,0,0,32,,0
0x7FE980,0x7FE99F,47,46,0,0,0,0,0,0,32,,0
0x7FE9A0,0x7FE9BF,96,169,3,0,0,0,0,0,32,,0
0x7FE9C0,0x7FE9DF,105,61,2,0,0,1,0,0,32,,0
0x7FE9E0,0x7FE9FF,79,119,0,0,0,1,0,0,32,,0
0x7FEA00,0x7FEA1F,67,51,2,0,0,0,0,0,32,,0
0x7FEA20,0x7FEA3F,68,48,0,0,0,0,0,0,32,,0
0x7FEA40,0x7FEA5F,72,61,1,0,0,0,0,0,32,,0
0x7FEA60,0x7FEA7F,57,45,0,0,0,0,0,0,32,,0
0x7FEA80,0x7FEA9F,113,60,0,0,0,0,0,0,32,,0
0x7FEAA0,0x7FEABF,39,50,0,0,0,0,0,0,32,,0
0x7FEAC0,0x7FEADF,227,87,0,0,0,0,0,0,32,,0
0x7FEAE0,0x7FEAFF,57,73,2,0,0,0,0,0,32,,0
0x7FEB00,0x7FEB1F,54,46,1,0,0,0,0,0,32,,0
0x7FEB20,0x7FEB3F,52,40,6,0,0,0,0,0,32,,0
0x7FEB40,0x7FEB5F,142,59,1,0,0,0,0,0,32,,0
0x7FEB60,0x7FEB7F,111,44,3,0,0,0,0,0,32,,0
0x7FEB80,0x7FEB9F,18,32,1,0,0,0,0,0,32,,0
0x7FEBA0,0x7FEBBF,56,32,0,0,0,0,0,0,32,,0
0x7FEBC0,0x7FEBDF,40,32,0,0,0,0,0,0,32,,0
0x7FEBE0,0x7FEBFF,46,42,1,0,0,0,0,0,32,,0
0x7FEC00,0x7FEC1F,20,33,0,0,0,0,0,0,32,,0
0x7FEC20,0x7FEC3F,38,30,2,0,0,0,0,0,32,,0
0x7FEC40,0x7FEC5F,37,36,2,0,0,0,0,0,32,,0
0x7FEC60,0x7FEC7F,56,50,0,0,0,0,0,0,32,,0
0x7FEC80,0x7FEC9F,46,34,0,0,0,0,0,0,32,,0
0x7FECA0,0x7FECBF,121,53,0,0,0,0,0,0,32,,0
0x7FECC0,0x7FECDF,164,51,2,0,0,0,0,0,32,,0
0x7FECE0,0x7FECFF,138,42,0,0,0,0,0,0,32,,0
0x7FED00,0x7FED1F,74,70,0,0,0,0,0,0,32,,0
0x7FED20,0x7FED3F,32,42,0,0,0,0,0,0,32,,0
0x7FED40,0x7FED5F,24,74,0,0,0,0,0,0,32,,0
0x7FED60,0x7FED7F,358,88,8,0,0,0,0,0,32,,0
0x7FED80,0x7FED9F,76,100,0,0,0,0,0,0,32,,0
0x7FEDA0,0x7FEDBF,10,14,9,0,0,0,0,0,32,,0
0x7FEDC0,0x7FEDDF,4,12,8,0,0,0,0,0,32,,0
0x7FEDE0,0x7FEDFF,14,18,5,0,0,0,0,0,32,,0
0x7FEE00,0x7FEE1F,6,12,10,0,0,0,0,0,32,,0
0x7FEE20,0x7FEE3F,10,12,18,0,0,0,0,0,32,,0
0x7FEE40,0x7FEE5F,74,40,0,0,0,0,0,0,32,,0
